loss now: tensor(1806.3059, grad_fn=<AddBackward0>)
loss now: tensor(1802.4539, grad_fn=<AddBackward0>)
loss now: tensor(1798.0491, grad_fn=<AddBackward0>)
loss now: tensor(1793.2056, grad_fn=<AddBackward0>)
loss now: tensor(1788.8851, grad_fn=<AddBackward0>)
loss now: tensor(1784.6261, grad_fn=<AddBackward0>)
loss now: tensor(1779.8572, grad_fn=<AddBackward0>)
loss now: tensor(1775.9591, grad_fn=<AddBackward0>)
loss now: tensor(1772.5361, grad_fn=<AddBackward0>)
loss now: tensor(1768.1963, grad_fn=<AddBackward0>)
loss now: tensor(1763.7904, grad_fn=<AddBackward0>)
loss now: tensor(1760.5292, grad_fn=<AddBackward0>)
loss now: tensor(1757.5537, grad_fn=<AddBackward0>)
loss now: tensor(1753.5664, grad_fn=<AddBackward0>)
loss now: tensor(1749.4915, grad_fn=<AddBackward0>)
loss now: tensor(1746.5588, grad_fn=<AddBackward0>)
loss now: tensor(1743.9758, grad_fn=<AddBackward0>)
loss now: tensor(1741.1775, grad_fn=<AddBackward0>)
loss now: tensor(1738.9026, grad_fn=<AddBackward0>)

Week 12 finished!

loss now: tensor(1736.9089, grad_fn=<AddBackward0>)
loss now: tensor(1720.5712, grad_fn=<AddBackward0>)
loss now: tensor(1709.6553, grad_fn=<AddBackward0>)
loss now: tensor(1706.1555, grad_fn=<AddBackward0>)
loss now: tensor(1703.4043, grad_fn=<AddBackward0>)
loss now: tensor(1697.9902, grad_fn=<AddBackward0>)
loss now: tensor(1690.7551, grad_fn=<AddBackward0>)
loss now: tensor(1684.9113, grad_fn=<AddBackward0>)
loss now: tensor(1681.8848, grad_fn=<AddBackward0>)
loss now: tensor(1679.8091, grad_fn=<AddBackward0>)
loss now: tensor(1677.3860, grad_fn=<AddBackward0>)
loss now: tensor(1673.5242, grad_fn=<AddBackward0>)
loss now: tensor(1668.5034, grad_fn=<AddBackward0>)
loss now: tensor(1662.8081, grad_fn=<AddBackward0>)
loss now: tensor(1658.4435, grad_fn=<AddBackward0>)
loss now: tensor(1655.4301, grad_fn=<AddBackward0>)
loss now: tensor(1654.5308, grad_fn=<AddBackward0>)
loss now: tensor(1656.1213, grad_fn=<AddBackward0>)
loss now: tensor(1660.7308, grad_fn=<AddBackward0>)
loss now: tensor(1665.0996, grad_fn=<AddBackward0>)

Week 13 finished!

loss now: tensor(1727.2013, grad_fn=<AddBackward0>)
loss now: tensor(1716.1045, grad_fn=<AddBackward0>)
loss now: tensor(1708.7014, grad_fn=<AddBackward0>)
loss now: tensor(1710.2383, grad_fn=<AddBackward0>)
loss now: tensor(1711.1610, grad_fn=<AddBackward0>)
loss now: tensor(1700.4790, grad_fn=<AddBackward0>)
loss now: tensor(1689.9260, grad_fn=<AddBackward0>)
loss now: tensor(1690.3867, grad_fn=<AddBackward0>)
loss now: tensor(1687.4332, grad_fn=<AddBackward0>)
loss now: tensor(1675.0483, grad_fn=<AddBackward0>)
loss now: tensor(1670.3853, grad_fn=<AddBackward0>)
loss now: tensor(1672.3228, grad_fn=<AddBackward0>)
loss now: tensor(1667.5054, grad_fn=<AddBackward0>)
loss now: tensor(1661.5112, grad_fn=<AddBackward0>)
loss now: tensor(1659.8829, grad_fn=<AddBackward0>)
loss now: tensor(1655.2780, grad_fn=<AddBackward0>)
loss now: tensor(1649.2189, grad_fn=<AddBackward0>)
loss now: tensor(1648.3516, grad_fn=<AddBackward0>)
loss now: tensor(1646.9790, grad_fn=<AddBackward0>)
loss now: tensor(1642.3853, grad_fn=<AddBackward0>)

Week 14 finished!

loss now: tensor(1645.9465, grad_fn=<AddBackward0>)
loss now: tensor(1643.1218, grad_fn=<AddBackward0>)
loss now: tensor(1639.3196, grad_fn=<AddBackward0>)
loss now: tensor(1635.4935, grad_fn=<AddBackward0>)
loss now: tensor(1633.1335, grad_fn=<AddBackward0>)
loss now: tensor(1630.4392, grad_fn=<AddBackward0>)
loss now: tensor(1630.8733, grad_fn=<AddBackward0>)
loss now: tensor(1628.7144, grad_fn=<AddBackward0>)
loss now: tensor(1624.1625, grad_fn=<AddBackward0>)
loss now: tensor(1621.2222, grad_fn=<AddBackward0>)
loss now: tensor(1617.1965, grad_fn=<AddBackward0>)
loss now: tensor(1610.2585, grad_fn=<AddBackward0>)
loss now: tensor(1604.4954, grad_fn=<AddBackward0>)
loss now: tensor(1602.8175, grad_fn=<AddBackward0>)
loss now: tensor(1601.7214, grad_fn=<AddBackward0>)
loss now: tensor(1599.0824, grad_fn=<AddBackward0>)
loss now: tensor(1596.7095, grad_fn=<AddBackward0>)
